CHALET HOTELS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 152.14 , 152.14 , 171.10 
Reserves, -   , -   , -   , -   , -   , -   , -   , 397.02 , 349.68 , 351.20 
Borrowings, -   , -   , -   , -   , -   , -   , -   ," 2,331.15 "," 2,611.69 "," 2,699.67 "
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , 569.86 , 519.51 , 495.01 
Total, -   , -   , -   , -   , -   , -   , -   ," 3,450.17 "," 3,633.02 "," 3,716.98 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   ," 2,401.14 "," 2,848.39 "," 2,819.18 "
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 31.61 , 22.36 , 21.92 
Investments, -   , -   , -   , -   , -   , -   , -   , 47.43 , 0.32 , 4.32 
Other Assets, -   , -   , -   , -   , -   , -   , -   , 969.99 , 761.95 , 871.56 
Total, -   , -   , -   , -   , -   , -   , -   ," 3,450.17 "," 3,633.02 "," 3,716.98 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , 400.13 , 242.44 , 376.55 
Debtors, -   , -   , -   , -   , -   , -   , -   , 18.14 , 29.62 , 55.17 
Inventory, -   , -   , -   , -   , -   , -   , -   , 325.76 , 319.09 , 311.58 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , 11.37 , 14.66 , 22.53 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , 1.79 , 2.31 , 2.87 
,,,,,,,,,,
Return on Equity,,,,,,,,-21%,26%,4%
Return on Capital Emp,,,,,,,,3%,10%,7%
,,,,,,,,,,
