MAJESCO LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.01 , 0.05 , 11.53 , 11.68 , 14.06 
Reserves, -   , -   , -   , -   , -   , -   , (0.03), 241.64 , 261.55 , 505.84 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , -   , 0.01 , 10.76 , 15.74 , 15.70 
Total, -   , -   , -   , -   , -   , 0.01 , 0.03 , 263.93 , 288.97 , 535.60 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 3.01 , 13.78 , 12.52 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 1.73 , -   
Investments, -   , -   , -   , -   , -   , -   , -   , 166.09 , 173.60 , 473.33 
Other Assets, -   , -   , -   , -   , -   , 0.01 , 0.03 , 94.83 , 99.86 , 49.75 
Total, -   , -   , -   , -   , -   , 0.01 , 0.03 , 263.93 , 288.97 , 535.60 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 0.01 , 0.02 , 84.07 , 84.12 , 34.05 
Debtors, -   , -   , -   , -   , -   , -   , -   , 4.31 , 3.78 , 4.43 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , 126.66 , 88.44 , 80.89 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,0%,-150%,2%,0%,3%
Return on Capital Emp,,,,,,0%,-200%,7%,1%,5%
,,,,,,,,,,
