INTELLECT DESIGN ARENA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , (44.95), (104.82), (120.44), 10.38 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , 78.20 , 60.95 , (76.38), (107.82)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , 1.68 , 17.42 , 154.56 , 143.29 
Net Cash Flow, -   , -   , -   , -   , -   , -   , 34.93 , (26.45), (42.26), 45.85 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
