GE T&D INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 154.27 , 227.87 , 109.32 , 252.11 , 412.37 , (141.18), 502.08 , (90.91), 188.40 ," 1,054.04 "
Cash from Investing Activity, (409.65), (318.61), (113.35), (137.18), (71.31), (119.41), (136.88), (49.61), (47.15), (305.86)
Cash from Financing Activity, 277.10 , 177.74 , (7.11), (201.75), (296.04), 218.91 , (320.13), 120.10 , (130.63), (584.76)
Net Cash Flow, 21.72 , 87.00 , (11.14), (86.82), 45.02 , (41.68), 45.07 , (20.42), 10.62 , 163.42 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
