DISHMAN CARBOGEN AMCIS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , (1.31), 2.57 , 270.38 , 20.04 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , 0.45 , 0.28 , (15.72), (174.61)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , 0.85 , (2.28), (225.38), 142.45 
Net Cash Flow, -   , -   , -   , -   , -   , -   , (0.01), 0.57 , 29.28 , (12.12)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
