INOX WIND LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 30.00 , 30.00 , 30.00 , 40.00 , 200.00 , 221.92 , 221.92 , 221.92 , 221.92 
Reserves, -   , (1.36), 5.05 , 104.89 , 252.79 , 237.71 ," 1,215.05 "," 1,687.20 "," 1,942.97 "," 1,787.58 "
Borrowings, -   , 57.00 , 96.61 , 120.31 , 375.49 , 556.65 , 873.31 ," 1,455.86 "," 1,459.85 ", 712.96 
Other Liabilities, -   , 21.81 , 69.43 , 153.83 , 238.93 , 379.59 , 764.68 ," 1,024.68 ", 865.03 , 730.06 
Total, -   , 107.45 , 201.09 , 409.03 , 907.21 ," 1,373.95 "," 3,074.96 "," 4,389.66 "," 4,489.77 "," 3,452.52 "
,,,,,,,,,,
Net Block, -   , 36.14 , 104.39 , 122.56 , 152.49 , 164.90 , 193.63 , 358.37 , 493.83 , 485.15 
Capital Work in Progress, -   , 37.25 , 8.21 , 19.86 , 3.27 , 7.71 , 13.77 , 13.45 , 18.68 , 9.11 
Investments, -   , -   , -   , -   , 0.05 , 45.05 , 0.05 , 568.36 , 761.56 , 485.99 
Other Assets, -   , 34.06 , 88.49 , 266.61 , 751.40 ," 1,156.29 "," 2,867.51 "," 3,449.48 "," 3,215.70 "," 2,472.27 "
Total, -   , 107.45 , 201.09 , 409.03 , 907.21 ," 1,373.95 "," 3,074.96 "," 4,389.66 "," 4,489.77 "," 3,452.52 "
,,,,,,,,,,
Working Capital, -   , 12.25 , 19.06 , 112.78 , 512.47 , 776.70 ," 2,102.83 "," 2,424.80 "," 2,350.67 "," 1,742.21 "
Debtors, -   , 8.64 , -   , 73.84 , 448.55 , 562.32 ," 1,320.96 "," 2,148.65 "," 2,005.00 "," 1,213.32 "
Inventory, -   , 11.59 , 63.62 , 99.70 , 71.35 , 123.01 , 126.46 , 214.63 , 339.27 , 648.82 
,,,,,,,,,,
Debtor Days, -   , 401.73 , -   , 43.36 , 163.81 , 146.94 , 194.15 , 202.43 , 256.52 ," 2,241.77 "
Inventory Turnover, -   , 0.68 , 1.13 , 6.23 , 14.01 , 11.36 , 19.64 , 18.05 , 8.41 , 0.30 
,,,,,,,,,,
Return on Equity,,-5%,18%,74%,50%,33%,23%,25%,12%,-8%
Return on Capital Emp,,-3%,8%,70%,41%,23%,30%,27%,14%,-3%
,,,,,,,,,,
