ASIAN GRANITO INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 3.50 , 38.70 , 24.87 , 2.34 , 19.19 , 52.39 , 105.63 , 62.75 , 70.51 , 41.84 
Cash from Investing Activity, (38.19), (47.32), (21.87), (20.28), (49.01), (30.15), (34.40), (59.69), (23.46), (16.71)
Cash from Financing Activity, 40.27 , 18.04 , (7.60), 26.19 , 33.51 , (33.18), (75.59), (3.88), (47.26), (20.73)
Net Cash Flow, 5.58 , 9.42 , (4.60), 8.25 , 3.69 , (10.94), (4.36), (0.81), (0.21), 4.41 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
