ADANI TRANSMISSION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , (11.47), 57.45 , (14.91), 48.67 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   ," (3,682.52)"," (3,746.98)"," (2,310.88)", (246.11)
Cash from Financing Activity, -   , -   , -   , -   , -   , 0.05 ," 3,694.39 "," 3,691.42 "," 2,325.40 ", 703.92 
Net Cash Flow, -   , -   , -   , -   , -   , 0.05 , 0.40 , 1.89 , (0.39), 506.48 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
