HCL INFOSYSTEMS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 252.01 , 24.59 , 18.12 , 183.55 , 282.14 , (25.77), (66.76), (26.25), (172.80), (185.69)
Cash from Investing Activity, (57.30), (730.78), 77.86 , (65.43), (540.36), (247.09), (112.25), 502.88 , 95.73 , (380.37)
Cash from Financing Activity, (309.08), 795.81 , (156.81), (128.12), 259.37 , 125.85 , 168.44 , (444.12), 50.35 , 543.87 
Net Cash Flow, (114.37), 89.62 , (60.83), (10.00), 1.15 , (147.01), (10.57), 32.51 , (26.72), (22.19)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
