DILIGENT MEDIA CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , 89.10 , 89.10 , 89.10 , 89.10 , 89.10 , 11.77 
Reserves, -   , -   , -   , -   , 40.04 , (27.18), (380.81), (412.13), (437.78), (423.33)
Borrowings, -   , -   , -   , -   , 368.01 , 389.75 , 21.79 , 0.01 , 436.27 , 777.38 
Other Liabilities, -   , -   , -   , -   , 232.67 , 367.05 , 646.11 , 479.75 , 512.37 , 88.17 
Total, -   , -   , -   , -   , 729.82 , 818.72 , 376.19 , 156.73 , 599.96 , 453.99 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , 321.09 , 73.07 , 6.74 , 2.87 , 2.84 , 258.99 
Capital Work in Progress, -   , -   , -   , -   , 0.30 , 0.12 , -   , -   , 0.03 , -   
Investments, -   , -   , -   , -   , -   , 1.81 , -   , -   , 436.27 , -   
Other Assets, -   , -   , -   , -   , 408.43 , 743.72 , 369.45 , 153.86 , 160.82 , 195.00 
Total, -   , -   , -   , -   , 729.82 , 818.72 , 376.19 , 156.73 , 599.96 , 453.99 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , 175.76 , 376.67 , (276.66), (325.89), (351.55), 106.83 
Debtors, -   , -   , -   , -   , 32.63 , 30.96 , -   , 16.14 , 15.16 , 31.85 
Inventory, -   , -   , -   , -   , 20.26 , 5.50 , 1.27 , 4.65 , 8.90 , 9.62 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , 77.43 , 71.43 , -   , 58.51 , 64.86 , 93.72 
Inventory Turnover, -   , -   , -   , -   , 7.59 , 28.76 , 100.60 , 21.65 , 9.59 , 12.89 
,,,,,,,,,,
Return on Equity,,,,,-98%,-269%,,,,
Return on Capital Emp,,,,,-52%,-28%,-101%,,,-10%
,,,,,,,,,,
