GARDEN REACH SHIPBUILDERS & ENGINEERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , (74.02)
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , 267.37 
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , (193.32)
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.04 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
