BATA INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 53.32 , 110.26 , 82.86 , 69.80 , 184.55 , 181.53 , 118.54 , 204.36 , 261.56 , 155.69 
Cash from Investing Activity, (31.87), (61.59), (53.26), (32.23), (128.77), (116.68), (65.88), (115.96), (232.93), (107.39)
Cash from Financing Activity, (26.46), (40.03), (31.39), (30.70), (45.63), (46.22), (50.43), (51.88), (55.70), (55.56)
Net Cash Flow, (5.01), 8.64 , (1.79), 6.87 , 10.15 , 18.63 , 2.23 , 36.52 , (27.07), (7.25)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
