KARDA CONSTRUCTION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   , 9.00 , 12.30 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   , 21.35 , 71.07 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , 135.15 , 126.86 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , 82.61 , 89.29 
Total, -   , -   , -   , -   , -   , -   , -   , -   , 248.11 , 299.52 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 2.20 , 1.99 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , -   , -   , 19.59 , 3.31 
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   , 226.32 , 294.22 
Total, -   , -   , -   , -   , -   , -   , -   , -   , 248.11 , 299.52 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   , 143.71 , 204.93 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 0.76 , 1.67 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , 171.08 , 141.12 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 2.62 , 4.81 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , 0.62 , 0.90 
,,,,,,,,,,
Return on Equity,,,,,,,,,26%,16%
Return on Capital Emp,,,,,,,,,37%,21%
,,,,,,,,,,
