MAHINDRA LOGISTICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 31.95 , (52.99), (34.00), 2.45 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , (172.77), 28.13 , 1.00 , 7.60 
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , 101.15 , (0.01), (0.26), 5.99 
Net Cash Flow, -   , -   , -   , -   , -   , -   , (39.67), (24.86), (33.26), 16.04 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
