5PAISA CAPITAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , (21.06), (50.66)
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , 1.98 , (6.92)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , 86.88 , (0.62)
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , 67.79 , (58.20)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
