GNA AXLES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , 20.13 , 27.72 , 40.11 , 35.93 , 27.01 , 74.47 , (90.30), 59.71 
Cash from Investing Activity, -   , -   , (14.29), (23.04), (54.32), (60.87), (14.46), (16.38), (7.96), (78.36)
Cash from Financing Activity, -   , -   , (6.49), (5.22), 14.89 , 23.97 , (12.65), (58.36), 97.97 , 18.71 
Net Cash Flow, -   , -   , (0.65), (0.54), 0.68 , (0.97), (0.10), (0.27), (0.28), 0.06 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
