CASTROL INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Cash from Operating Activity, 568.45 , 509.90 , 352.38 , 467.16 , 396.45 , 547.60 , 740.01 , 664.11 , 608.30 , 549.48 
Cash from Investing Activity, (18.04), (10.83), 11.05 , 0.78 , 29.86 , (13.74), 2.26 , (32.97), 151.37 , 66.12 
Cash from Financing Activity, (280.28), (420.51), (432.77), (433.18), (406.68), (696.63), (477.83), (568.03), (655.78), (567.42)
Net Cash Flow, 270.13 , 78.56 , (69.34), 34.76 , 19.63 , (162.77), 264.44 , 63.11 , 103.89 , 48.18 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
