GANGES SECURITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , (0.04), (0.01), 0.12 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , 0.05 , -   , -   , -   
Net Cash Flow, -   , -   , -   , -   , -   , -   , 0.05 , (0.04), (0.01), 0.12 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
