INDO THAI SECURITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 0.31 , 0.88 , 0.27 , (3.68), (6.32), (2.41), (4.92), (7.14), 1.76 , 1.36 
Cash from Investing Activity, 0.42 , 0.98 , 0.49 , (11.31), 6.49 , (3.85), 1.11 , 12.77 , 2.22 , 1.23 
Cash from Financing Activity, 0.36 , -   , (0.72), 26.20 , 2.84 , (1.07), 1.26 , (5.54), (1.38), 3.05 
Net Cash Flow, 1.09 , 1.86 , 0.04 , 11.21 , 3.01 , (7.33), (2.55), 0.09 , 2.61 , 5.64 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
