MANAKSIA STEELS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 0.05 , 0.05 , 0.05 , 6.55 , 6.55 , 6.55 , 6.55 
Reserves, -   , -   , -   , (0.04), (0.04), 133.90 , 141.83 , 146.81 , 153.00 , 169.62 
Borrowings, -   , -   , -   , -   , -   , 128.03 , 44.66 , 53.87 , 57.71 , 92.59 
Other Liabilities, -   , -   , -   , -   , -   , 78.22 , 37.43 , 44.19 , 38.69 , 91.20 
Total, -   , -   , -   , 0.01 , 0.01 , 340.20 , 230.47 , 251.42 , 255.95 , 359.96 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , 72.87 , 67.60 , 61.79 , 55.48 , 50.12 
Capital Work in Progress, -   , -   , -   , -   , -   , 2.41 , 1.38 , 1.41 , 1.51 , 2.92 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.64 
Other Assets, -   , -   , -   , 0.01 , 0.01 , 264.92 , 161.49 , 188.22 , 198.96 , 275.28 
Total, -   , -   , -   , 0.01 , 0.01 , 340.20 , 230.47 , 251.42 , 255.95 , 359.96 
,,,,,,,,,,
Working Capital, -   , -   , -   , 0.01 , 0.01 , 186.70 , 124.06 , 144.03 , 160.27 , 184.08 
Debtors, -   , -   , -   , -   , -   , 75.47 , 57.03 , 91.14 , 93.62 , 92.76 
Inventory, -   , -   , -   , -   , -   , 132.91 , 60.35 , 49.03 , 48.96 , 123.08 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 129.62 , 63.22 , 114.98 , 102.31 , 68.61 
Inventory Turnover, -   , -   , -   , -   , -   , 1.60 , 5.46 , 5.90 , 6.82 , 4.01 
,,,,,,,,,,
Return on Equity,,,,-200%,0%,8%,6%,3%,6%,9%
Return on Capital Emp,,,,-400%,0%,17%,6%,5%,9%,13%
,,,,,,,,,,
