THE ANUP ENGINEERING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
