MANPASAND BEVERAGES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , (13.95), 31.91 , 2.30 , 52.68 , 81.56 , 145.59 , 37.02 
Cash from Investing Activity, -   , -   , -   , (57.67), (47.52), (14.70), (158.24), (312.47), (623.26), (125.22)
Cash from Financing Activity, -   , -   , -   , 73.39 , 18.73 , 11.44 , 105.12 , 231.77 , 477.47 , 84.99 
Net Cash Flow, -   , -   , -   , 1.77 , 3.12 , (0.96), (0.44), 0.86 , (0.19), (3.21)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
