HDFC ASSET MANAGEMENT COMPANY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , 25.16 , 25.17 , 105.28 
Reserves, -   , -   , -   , -   , -   , -   , -   ," 1,126.06 "," 1,397.77 "," 2,054.69 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , 271.58 , 176.80 , 210.96 
Total, -   , -   , -   , -   , -   , -   , -   ," 1,422.80 "," 1,599.74 "," 2,370.93 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , 31.16 , 31.18 , 32.79 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , 1.10 , 2.42 , 5.96 
Investments, -   , -   , -   , -   , -   , -   , -   , 985.79 ," 1,236.66 "," 1,950.56 "
Other Assets, -   , -   , -   , -   , -   , -   , -   , 404.75 , 329.48 , 381.62 
Total, -   , -   , -   , -   , -   , -   , -   ," 1,422.80 "," 1,599.74 "," 2,370.93 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , 133.17 , 152.68 , 170.66 
Debtors, -   , -   , -   , -   , -   , -   , -   , 38.57 , 85.09 , 90.28 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , 9.45 , 19.80 , 17.65 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,,42%,39%,33%
Return on Capital Emp,,,,,,,,123%,62%,59%
,,,,,,,,,,
