RAJDARSHAN INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (0.50), 0.52 , 0.56 , 1.05 , 0.20 , 0.94 , 0.72 , 0.98 , (1.97), 0.33 
Cash from Investing Activity, 0.55 , (0.89), (0.06), (0.09), (0.46), 0.25 , 0.37 , 0.96 , 0.36 , (0.18)
Cash from Financing Activity, (0.10), 0.31 , (0.51), (0.18), 0.40 , (0.32), (0.34), (0.13), (0.06), (0.01)
Net Cash Flow, (0.05), (0.06), (0.01), 0.78 , 0.14 , 0.87 , 0.74 , 1.81 , (1.67), 0.14 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
