ADANI GAS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , 255.01 , 258.38 , 289.90 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , (412.74), (303.25), (58.50)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , 39.41 , 50.17 , (216.23)
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , (118.32), 5.30 , 15.17 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
