BF INVESTMENT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , 30.17 , 30.39 , 47.68 , (8.55), (9.08), (5.69), (2.02), (0.74)
Cash from Investing Activity, -   , -   , (46.61), (29.65), (69.79), 14.07 , (9.50), (32.97), (17.10), (31.24)
Cash from Financing Activity, -   , -   , (1.16), (0.60), 21.96 , 14.57 , 17.23 , 19.98 , 19.09 , 35.10 
Net Cash Flow, -   , -   , (17.60), 0.14 , (0.15), 20.09 , (1.35), (18.68), (0.03), 3.12 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
