GEECEE VENTURES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 55.58 , (24.26), 20.56 , (0.56), (84.76), 35.74 , 26.50 , 4.61 , (138.57), (17.70)
Cash from Investing Activity, (27.27), 89.57 , 122.59 , 29.70 , 12.07 , 10.11 , 23.02 , (1.09), 11.14 , 23.19 
Cash from Financing Activity, (27.25), (62.57), (52.29), (5.21), (9.25), (3.35), (0.89), (0.04), (0.06), (3.92)
Net Cash Flow, 1.06 , 2.74 , 90.86 , 23.93 , (81.94), 42.50 , 48.63 , 3.48 , (127.49), 1.56 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
