FINE ORGANIC INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , 49.02 , 50.80 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , (16.26), (52.02)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , (59.17), (3.67)
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , (26.41), (4.90)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
