CHALET HOTELS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , 110.54 , 202.92 , 250.69 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , (159.53), 333.73 , (120.01)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , 53.13 , (469.75), (156.15)
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , 4.13 , 66.90 , (25.47)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
