BHARAT WIRE ROPES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , (8.97), (9.89), 15.20 , 15.92 , 7.87 , (6.33), 36.13 , 17.01 , 31.86 
Cash from Investing Activity, -   , (0.70), (5.14), (47.49), (8.21), (1.87), (4.51), (193.08), (258.79), (98.42)
Cash from Financing Activity, -   , 8.91 , 17.74 , 41.35 , (11.88), (12.54), 10.79 , 227.14 , 172.33 , 89.83 
Net Cash Flow, -   , (0.76), 2.71 , 9.06 , (4.17), (6.54), (0.05), 70.19 , (69.45), 23.27 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
