HPL ELECTRIC & POWER LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , 85.41 , (15.90), 62.54 , 45.46 , 26.98 , 111.75 , (7.82), 8.99 
Cash from Investing Activity, -   , -   , (77.28), (45.30), (32.90), (49.32), (39.11), (91.60), (47.43), (51.87)
Cash from Financing Activity, -   , -   , (0.26), 78.66 , (24.42), (2.16), 20.14 , (16.10), 56.17 , 44.11 
Net Cash Flow, -   , -   , 7.87 , 17.47 , 5.22 , (6.02), 8.02 , 4.05 , 0.92 , 1.22 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
