ACC LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18
Cash from Operating Activity," 2,397.08 "," 1,935.38 "," 1,571.31 "," 1,577.00 "," 1,056.23 "," 1,331.70 "," 1,461.24 "," 1,380.10 "," 1,554.76 "," 1,118.08 "
Cash from Investing Activity," (2,634.41)", (812.25), (258.24), (306.25), (857.74)," (1,436.69)", (948.17), (539.10), (383.70), (366.87)
Cash from Financing Activity, (454.58), (621.39), (768.32)," (1,066.02)", (834.47), (837.09), (681.02), (420.06), (422.10), (441.11)
Net Cash Flow, (691.91), 501.74 , 544.75 , 204.73 , (635.98), (942.08), (167.95), 420.94 , 748.96 , 310.10 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
