EXPLEO SOLUTIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 10.98 , 14.76 , 0.04 , 5.59 , 14.81 , 19.81 , 27.76 , 46.61 , 14.09 , 54.62 
Cash from Investing Activity, 1.66 , (6.13), (21.88), (1.35), (22.28), (0.59), (6.24), 11.14 , (14.13), (16.93)
Cash from Financing Activity, 0.53 , 14.13 , (1.01), (3.53), 6.39 , (12.90), (11.25), (39.14), (30.60), (30.52)
Net Cash Flow, 13.17 , 22.76 , (22.85), 0.71 , (1.08), 6.32 , 10.27 , 18.61 , (30.64), 7.17 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
