ARTEMIS GLOBAL LIFE SCIENCES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 0.10 , 0.10 , 13.24 , 13.24 
Reserves, -   , -   , -   , -   , -   , -   , (0.05), 0.02 , 145.60 , 145.30 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , -   , 0.01 , 0.08 , 3.52 , 3.57 
Total, -   , -   , -   , -   , -   , -   , 0.06 , 0.20 , 162.36 , 162.11 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , 1.92 , 1.77 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , -   , -   , -   , -   , 0.05 , -   , 159.91 , 159.91 
Other Assets, -   , -   , -   , -   , -   , -   , 0.01 , 0.20 , 0.53 , 0.43 
Total, -   , -   , -   , -   , -   , -   , 0.06 , 0.20 , 162.36 , 162.11 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , 0.12 , (2.99), (3.14)
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.11 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , 97.93 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,-20%,58%,0%,0%
Return on Capital Emp,,,,,,,-40%,165%,0%,0%
,,,,,,,,,,
