DILIGENT MEDIA CORPORATION LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , (96.81), (458.33), 313.09 , (19.00), (1.95), 14.91 
Cash from Investing Activity, -   , -   , -   , -   , (8.51), 325.79 , 6.90 , 0.24 , (0.33), (10.03)
Cash from Financing Activity, -   , -   , -   , -   , 47.60 , 132.88 , (321.50), 24.73 , -   , (0.03)
Net Cash Flow, -   , -   , -   , -   , (57.72), 0.34 , (1.51), 5.96 , (2.28), 4.86 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
