INDO TECH TRANSFORMERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 42.10 , (20.49), (20.93), (38.19), (18.15), (31.74), (13.01), (2.68), (11.78), 3.62 
Cash from Investing Activity, (19.88), 47.87 , (3.22), (2.11), (0.43), (2.75), (0.44), 8.22 , (1.14), (0.80)
Cash from Financing Activity, (25.50), (7.91), (0.54), 37.28 , 20.84 , 33.97 , 18.74 , -   , (1.17), (0.47)
Net Cash Flow, (3.28), 19.47 , (24.69), (3.02), 2.26 , (0.52), 5.29 , 5.54 , (14.09), 2.35 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
