INDIAN ENERGY EXCHANGE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , 76.12 , 76.32 , 91.97 , 88.62 , 205.90 , 131.16 
Cash from Investing Activity, -   , -   , -   , -   , (69.35), (90.13), 23.89 , (22.97), (21.20), (33.42)
Cash from Financing Activity, -   , -   , -   , -   , (7.07), (7.83), (105.98), (69.62), (109.04), (126.27)
Net Cash Flow, -   , -   , -   , -   , (0.31), (21.64), 9.87 , (3.98), 75.67 , (28.54)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
