KIRLOSKAR OIL ENGINES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , 279.75 , 373.20 , 215.54 , 338.01 , 339.26 , 97.85 , 172.25 , 166.58 
Cash from Investing Activity, -   , -   , (197.12), (197.62), 31.37 , (224.32), (282.09), 80.97 , (189.81), 8.26 
Cash from Financing Activity, -   , -   , (124.70), (171.25), (249.65), (84.45), (84.33), (175.92), 2.48 , (129.87)
Net Cash Flow, -   , -   , (42.07), 4.33 , (2.74), 29.24 , (27.16), 2.90 , (15.08), 44.97 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
