ARVIND FASHIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , -   , -   , -   , 23.17 
Reserves, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,207.88 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , 46.40 
Other Liabilities, -   , -   , -   , -   , -   , -   , -   , -   , -   , 239.74 
Total, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,517.19 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   , -   , 19.36 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.02 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,141.21 "
Other Assets, -   , -   , -   , -   , -   , -   , -   , -   , -   , 356.60 
Total, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,517.19 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , -   , -   , -   , 116.86 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , 37.73 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , 252.90 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , 16.25 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.35 
,,,,,,,,,,
Return on Equity,,,,,,,,,,4%
Return on Capital Emp,,,,,,,,,,13%
,,,,,,,,,,
