ASTRON PAPER & BOARD MILL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 32.50 , 32.50 , 32.50 , 46.50 
Reserves, -   , -   , -   , -   , -   , -   , (3.23), 2.86 , 12.67 , 79.63 
Borrowings, -   , -   , -   , -   , -   , -   , 72.31 , 78.36 , 89.20 , 74.86 
Other Liabilities, -   , -   , -   , -   , -   , -   , 35.67 , 44.73 , 39.81 , 40.76 
Total, -   , -   , -   , -   , -   , -   , 137.25 , 158.45 , 174.18 , 241.75 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 65.84 , 74.75 , 78.89 , 90.28 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 1.08 , -   , 1.39 , 13.23 
Investments, -   , -   , -   , -   , -   , -   , 0.05 , 0.05 , -   , 0.18 
Other Assets, -   , -   , -   , -   , -   , -   , 70.28 , 83.65 , 93.90 , 138.06 
Total, -   , -   , -   , -   , -   , -   , 137.25 , 158.45 , 174.18 , 241.75 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 34.61 , 38.92 , 54.09 , 97.30 
Debtors, -   , -   , -   , -   , -   , -   , 28.55 , 37.14 , 34.93 , 59.13 
Inventory, -   , -   , -   , -   , -   , -   , 34.16 , 35.29 , 42.36 , 32.73 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 68.60 , 86.50 , 69.98 , 86.01 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 4.45 , 4.44 , 4.30 , 7.67 
,,,,,,,,,,
Return on Equity,,,,,,,14%,17%,22%,17%
Return on Capital Emp,,,,,,,33%,16%,16%,17%
,,,,,,,,,,
