ASIAN HOTELS (EAST) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (0.03), 12.76 , 16.28 , 21.09 , 14.38 , 20.04 , 17.92 , 13.43 , 6.99 , 18.21 
Cash from Investing Activity, -   , (324.81), (22.45), 45.92 , (68.92), (15.37), (178.72), 31.86 , 196.67 , (0.09)
Cash from Financing Activity, -   , -   , (4.93), (5.90), (5.92), (5.91), 160.69 , (44.10), (203.66), (2.77)
Net Cash Flow, (0.03), (312.05), (11.10), 61.11 , (60.46), (1.24), (0.10), 1.20 , 0.01 , 15.36 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
