ADLABS ENTERTAINMENT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , (1.74), (3.01), 80.36 , 63.36 , (2.92), 34.51 , 57.75 , 89.43 , 45.49 
Cash from Investing Activity, -   , (4.12), (28.70), (105.91), (690.29), (365.51), (137.88), (85.89), (42.86), (8.72)
Cash from Financing Activity, -   , 6.34 , 37.67 , 25.21 , 650.48 , 366.36 , 465.21 , (342.93), (57.89), (41.03)
Net Cash Flow, -   , 0.48 , 5.96 , (0.34), 23.55 , (2.07), 361.84 , (371.07), (11.32), (4.26)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
