HONEYWELL AUTOMATION INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 9.98 , 159.91 , 45.63 , (18.45), (17.32), 191.50 , 13.02 , 166.37 , 215.19 , 262.90 
Cash from Investing Activity, (32.47), (60.82), 70.00 , 23.64 , 65.99 , 5.66 , (139.84), 46.20 , (85.08), (84.23)
Cash from Financing Activity, (11.89), (12.47), (10.54), (11.16), (10.61), (10.66), (10.78), (13.30), (10.64), (10.64)
Net Cash Flow, (34.38), 86.62 , 105.09 , (5.97), 38.06 , 186.50 , (137.60), 199.27 , 119.47 , 168.03 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
