GREENLAM INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 157.06 , 110.18 , 124.04 , 91.68 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , (95.50), (67.37), (13.77), (36.92)
Cash from Financing Activity, -   , -   , -   , -   , -   , 0.03 , (59.55), (44.28), (106.11), (54.71)
Net Cash Flow, -   , -   , -   , -   , -   , 0.03 , 2.01 , (1.47), 4.16 , 0.05 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
