EIMCO ELECON (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (13.74), 13.06 , 17.92 , 47.50 , 12.99 , 11.92 , 19.13 , 42.30 , 18.99 , 9.97 
Cash from Investing Activity, 1.99 , 0.38 , (4.63), (42.82), (11.07), (8.84), (16.14), (41.57), (14.63), (5.35)
Cash from Financing Activity, 9.45 , (12.99), (14.00), (2.73), (2.68), (2.72), (2.71), (3.48), (3.46), (2.88)
Net Cash Flow, (2.30), 0.45 , (0.71), 1.95 , (0.76), 0.36 , 0.29 , (2.74), 0.90 , 1.74 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
