MAHINDRA LOGISTICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 59.82 , 59.82 , 68.00 , 71.14 
Reserves, -   , -   , -   , -   , -   , -   , 205.94 , 243.95 , 280.82 , 347.76 
Borrowings, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, -   , -   , -   , -   , -   , -   , 237.85 , 250.67 , 421.30 , 494.48 
Total, -   , -   , -   , -   , -   , -   , 503.61 , 554.44 , 770.12 , 913.38 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 20.10 , 21.17 , 27.95 , 31.08 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 0.02 , 0.43 , 0.69 , 0.55 
Investments, -   , -   , -   , -   , -   , -   , 120.55 , 78.31 , 69.90 , 63.01 
Other Assets, -   , -   , -   , -   , -   , -   , 362.94 , 454.53 , 671.58 , 818.74 
Total, -   , -   , -   , -   , -   , -   , 503.61 , 554.44 , 770.12 , 913.38 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 125.09 , 203.86 , 250.28 , 324.26 
Debtors, -   , -   , -   , -   , -   , -   , 187.15 , 234.85 , 400.26 , 487.68 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 36.28 , 42.97 , 56.44 , 55.28 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,,,,,,,15%,12%,13%,15%
Return on Capital Emp,,,,,,,46%,20%,21%,25%
,,,,,,,,,,
