CESC VENTURES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , 26.68 
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , (592.82)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , 575.05 
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.91 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
