JUBILANT INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , (0.01), 37.19 , 4.60 , (0.61), (0.10), (0.02), (0.09), 0.74 , (0.18)
Cash from Investing Activity, -   , 0.04 , (87.98), (3.22), (1.03), (0.15), (1.08), (0.01), -   , 0.02 
Cash from Financing Activity, -   , -   , (93.79), (5.43), -   , 0.03 , 0.96 , 0.27 , (0.91), 0.17 
Net Cash Flow, -   , 0.03 , (144.58), (4.05), (1.64), (0.22), (0.14), 0.17 , (0.17), 0.01 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
