FUTURE LIFESTYLE FASHIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , (5.13), (592.97), 230.82 , 358.36 , 510.43 , 566.24 
Cash from Investing Activity, -   , -   , -   , -   , 0.15 , (515.08), (266.61), (155.31), 76.49 , (486.57)
Cash from Financing Activity, -   , -   , -   , -   , 5.15 ," 1,378.96 ", (175.63), (248.09), (584.13), (71.86)
Net Cash Flow, -   , -   , -   , -   , 0.17 , 270.91 , (211.42), (45.04), 2.79 , 7.81 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
