KOTHARI PETROCHEMICALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 0.83 , 5.78 , 7.61 , 14.43 , 0.25 , 14.19 , 14.35 , 15.81 , 3.50 , 15.74 
Cash from Investing Activity, 0.43 , (3.12), (9.53), (22.04), 8.71 , (12.24), (3.49), 4.32 , (7.81), (29.29)
Cash from Financing Activity, -   , 0.41 , 1.27 , 7.18 , (8.44), 2.03 , (4.03), (12.73), 13.07 , (8.48)
Net Cash Flow, 1.26 , 3.07 , (0.65), (0.43), 0.52 , 3.98 , 6.84 , 7.41 , 8.77 , (22.03)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
