BINANI INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 14.10 , 23.00 , 35.10 , 139.29 , 179.28 , 120.66 , 46.60 , 260.60 , 158.97 , 36.97 , 2.46 , 34.22 , 35.08 
Expenses, 22.58 , 28.87 , 40.21 , 62.65 , 118.50 , (157.04), (143.63), 198.39 , 115.40 , (4.15), (31.44), (437.41), 23.79 
Operating Profit, (8.48), (5.87), (5.11), 76.64 , 60.78 , 277.70 , 190.23 , 62.21 , 43.57 , 41.12 , 33.90 , 471.63 , 11.29 
Other Income, 49.73 , 28.03 , 50.81 , 50.75 , 49.18 , 11.34 , 8.20 , 6.78 , 24.91 , 6.06 , 0.68 , -   , -   
Depreciation, 0.33 , 0.27 , 0.40 , 0.65 , 1.19 , 1.27 , 1.77 , 2.21 , 1.70 , 0.85 , 0.75 , 0.75 , 0.75 
Interest, 7.02 , 5.24 , 33.84 , 106.72 , 93.84 , 268.18 , 184.59 , 49.90 , 52.49 , 51.13 , 43.23 , 43.23 , 43.23 
Profit before tax, 33.90 , 16.65 , 11.46 , 20.02 , 14.94 , 19.60 , 12.05 , 16.88 , 14.30 , (4.79), (9.40), 427.65 , (32.69)
Tax, 0.13 , -   , -   , 6.34 , 2.55 , -   , -   , (2.25), 3.62 , 0.26 , 0.19 ,0%,0%
Net profit, 33.77 , 16.65 , 11.46 , 13.68 , 12.38 , 19.60 , 12.05 , 19.13 , 10.67 , (5.05), (9.59), 427.65 , (32.69)
EPS, 11.40 , 5.62 , 3.87 , 4.62 , 4.18 , 6.62 , 4.07 , 6.10 , 3.40 , (1.61), (3.06), 136.34 , (10.42)
Price to earning, 3.74 , 19.79 , 53.58 , 26.05 , 22.81 , 12.43 , 24.25 , 10.89 , 25.51 , (59.75), -   , 18.20 , -   
Price, 42.68 , 111.28 , 207.33 , 120.42 , 95.39 , 82.32 , 98.74 , 66.39 , 86.78 , 96.20 , 30.80 ," 2,481.28 ", -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,26.33%,53.39%,77.57%,64.99%,71.81%,45.36%,73.78%,6.59%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,55.02%,33.90%,230.15%,408.22%,23.87%,27.41%,111.23%,1378.05%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.30%,0.74%,-27.08%,-7.43%,-76.74%,-7.43%,-76.74%
,,,,,,OPM,74.14%,79.83%,98.56%,32.18%,1378.05%,1378.05%,32.18%
,,,,,,Price to Earning, 22.12 , 20.32 , 18.27 , 18.20 , -   , 18.20 , -   
