AAVAS FINANCIERS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , (590.80), (590.65), (924.13)
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , (1.00), (15.38), (226.37)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , 816.08 , 639.73 ," 1,240.38 "
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , 224.28 , 33.70 , 89.89 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
