KALYANI COMMERCIALS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 0.97 , 0.97 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
Reserves, -   , -   , -   , 3.06 , 3.49 , 4.02 , 4.43 , 5.05 , 5.60 , 6.12 
Borrowings, -   , -   , -   , 22.08 , 29.23 , 36.87 , 39.87 , 45.28 , 38.02 , 77.53 
Other Liabilities, -   , -   , -   , 4.63 , 10.58 , 2.81 , 5.57 , 18.04 , 23.12 , 3.88 
Total, -   , -   , -   , 30.74 , 44.27 , 44.70 , 50.87 , 69.37 , 67.74 , 88.53 
,,,,,,,,,,
Net Block, -   , -   , -   , 4.85 , 5.41 , 5.94 , 6.50 , 6.54 , 5.94 , 5.93 
Capital Work in Progress, -   , -   , -   , -   , -   , 0.30 , -   , -   , 0.25 , -   
Investments, -   , -   , -   , -   , -   , 0.25 , 0.25 , 0.25 , 2.40 , 4.44 
Other Assets, -   , -   , -   , 25.89 , 38.86 , 38.21 , 44.12 , 62.58 , 59.15 , 78.16 
Total, -   , -   , -   , 30.74 , 44.27 , 44.70 , 50.87 , 69.37 , 67.74 , 88.53 
,,,,,,,,,,
Working Capital, -   , -   , -   , 21.26 , 28.28 , 35.40 , 38.55 , 44.54 , 36.03 , 74.28 
Debtors, -   , -   , -   , 13.22 , 15.53 , 20.38 , 16.11 , 37.50 , 52.13 , 38.12 
Inventory, -   , -   , -   , 11.66 , 21.25 , 15.57 , 23.26 , 21.61 , 4.72 , 30.19 
,,,,,,,,,,
Debtor Days, -   , -   , -   , 20.59 , 23.60 , 28.34 , 18.68 , 26.10 , 43.89 , 28.64 
Inventory Turnover, -   , -   , -   , 20.10 , 11.30 , 16.86 , 13.54 , 24.26 , 91.85 , 16.09 
,,,,,,,,,,
Return on Equity,,,,10%,10%,11%,9%,10%,8%,7%
Return on Capital Emp,,,,16%,12%,10%,10%,12%,14%,12%
,,,,,,,,,,
