BALKRISHNA PAPER MILLS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , 2.85 , (1.93), 3.96 , (36.42)
Cash from Investing Activity, -   , -   , -   , -   , -   , 0.05 , (2.23), 17.84 , 2.91 , (2.26)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , (0.30), (12.69), (10.36), 38.66 
Net Cash Flow, -   , -   , -   , -   , -   , 0.05 , 0.32 , 3.22 , (3.48), (0.02)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
