H.G. INFRA ENGINEERING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , 64.39 , (7.78)
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , (113.73), (446.20)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , 62.01 , 443.36 
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , 12.68 , (10.61)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
