DISHMAN CARBOGEN AMCIS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 0.05 , 0.05 , -   , 32.28 
Reserves, -   , -   , -   , -   , -   , -   , (0.61), 0.29 ," 4,770.74 "," 4,759.30 "
Borrowings, -   , -   , -   , -   , -   , -   , 10.26 , 8.98 , 444.93 , 621.57 
Other Liabilities, -   , -   , -   , -   , -   , -   , 2.60 , 2.80 , 350.89 , 425.57 
Total, -   , -   , -   , -   , -   , -   , 12.30 , 12.12 ," 5,566.56 "," 5,838.72 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , -   , -   ," 1,927.08 "," 1,852.83 "
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 40.55 , 47.89 
Investments, -   , -   , -   , -   , -   , -   , -   , -   ," 2,761.19 "," 2,937.10 "
Other Assets, -   , -   , -   , -   , -   , -   , 12.30 , 12.12 , 837.74 ," 1,000.90 "
Total, -   , -   , -   , -   , -   , -   , 12.30 , 12.12 ," 5,566.56 "," 5,838.72 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 9.70 , 9.32 , 486.85 , 575.33 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , 71.18 , 140.02 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , 151.80 , 169.09 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , 57.54 , 107.72 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , 2.97 , 2.81 
,,,,,,,,,,
Return on Equity,,,,,,,,262%,1%,1%
Return on Capital Emp,,,,,,,9%,21%,3%,2%
,,,,,,,,,,
