ARVIND FASHIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-18
Cash from Operating Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , (4.03)
Cash from Investing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , (303.21)
Cash from Financing Activity, -   , -   , -   , -   , -   , -   , -   , -   , -   , 315.19 
Net Cash Flow, -   , -   , -   , -   , -   , -   , -   , -   , -   , 7.95 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
