INDIAN TERRAIN FASHIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 0.05 , 5.58 , 5.58 , 5.61 , 5.69 , 7.19 , 7.34 , 7.59 , 7.59 
Reserves, -   , -   , 14.32 , 15.28 , 20.18 , 30.49 , 119.21 , 153.62 , 171.26 , 196.44 
Borrowings, -   , -   , 50.84 , 61.15 , 61.00 , 56.46 , 39.34 , 44.73 , 44.23 , 37.33 
Other Liabilities, -   , -   , 27.18 , 36.65 , 34.65 , 48.08 , 49.79 , 64.42 , 81.10 , 138.51 
Total, -   , 0.05 , 97.92 , 118.66 , 121.44 , 140.72 , 215.53 , 270.11 , 304.18 , 379.87 
,,,,,,,,,,
Net Block, -   , -   , 8.92 , 9.12 , 8.40 , 7.94 , 6.73 , 26.57 , 34.51 , 49.21 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 2.03 , -   
Investments, -   , -   , -   , -   , -   , -   , 59.07 , -   , -   , -   
Other Assets, -   , 0.05 , 89.00 , 109.54 , 113.04 , 132.78 , 149.73 , 243.54 , 267.64 , 330.66 
Total, -   , 0.05 , 97.92 , 118.66 , 121.44 , 140.72 , 215.53 , 270.11 , 304.18 , 379.87 
,,,,,,,,,,
Working Capital, -   , 0.05 , 61.82 , 72.89 , 78.39 , 84.70 , 99.94 , 179.12 , 186.54 , 192.15 
Debtors, -   , -   , 44.83 , 62.62 , 69.05 , 77.11 , 95.61 , 117.23 , 109.18 , 178.66 
Inventory, -   , -   , 33.31 , 32.41 , 32.35 , 43.08 , 35.88 , 44.82 , 73.65 , 80.58 
,,,,,,,,,,
Debtor Days, -   , -   , 135.11 , 162.14 , 160.84 , 121.28 , 120.17 , 131.65 , 122.28 , 162.44 
Inventory Turnover, -   , -   , 3.64 , 4.35 , 4.84 , 5.39 , 8.09 , 7.25 , 4.43 , 4.98 
,,,,,,,,,,
Return on Equity,,0%,32%,8%,16%,27%,14%,21%,13%,12%
Return on Capital Emp,,0%,34%,16%,17%,25%,24%,24%,20%,20%
,,,,,,,,,,
