CAPRI GLOBAL CAPITAL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 125.63 , (37.60), (178.36), (74.53), (21.86), (130.69), 55.62 , (71.02), (510.12), (445.50)
Cash from Investing Activity, (18.24), (8.91), (60.47), 51.50 , 3.51 , 129.16 , (83.85), 0.63 , 43.65 , (42.88)
Cash from Financing Activity, (20.25), (16.84), 421.05 , (0.06), (3.57), (5.81), 43.88 , 69.42 , 459.95 , 506.88 
Net Cash Flow, 87.14 , (63.35), 182.22 , (23.09), (21.92), (7.34), 15.65 , (0.97), (6.52), 18.51 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
