HIGH GROUND ENTERPRISE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, (0.01), (0.10), (2.66), 2.54 , (0.13), (31.54), (20.04), (21.80), (13.73), 2.41 
Cash from Investing Activity, -   , -   , (0.56), (3.49), 0.16 , (2.10), (5.39), 3.56 , 0.04 , (4.96)
Cash from Financing Activity, -   , 0.09 , 3.92 , 0.28 , 0.62 , 33.64 , 25.92 , 22.76 , 9.30 , 6.77 
Net Cash Flow, (0.01), (0.01), 0.70 , (0.67), 0.65 , -   , 0.49 , 4.52 , (4.39), 4.22 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
