CLARIANT CHEMICALS (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 80.69 , 171.08 , 163.71 , 13.80 , 76.58 , (31.81), (59.68), (148.44), 81.58 , (0.97)
Cash from Investing Activity, (51.92), (70.71), (80.24), 149.66 , 34.01 , 127.17 ," 1,223.82 ", (35.40), (49.99), 66.97 
Cash from Financing Activity, (33.55), (91.83), (79.52), (155.93), (124.76), (87.03), (175.29), (798.72), (28.64), (70.05)
Net Cash Flow, (4.78), 8.54 , 3.95 , 7.53 , (14.17), 8.33 , 988.86 , (982.56), 2.95 , (4.05)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
