JK PAPER LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 202.77 , 243.83 , 229.34 , 7.07 , 123.72 , 130.23 , 253.97 , 403.50 , 561.32 , 555.44 
Cash from Investing Activity, (25.18), (66.13), (99.51), (596.50), (791.66), (332.01), (50.02), (33.51), (259.72), 46.50 
Cash from Financing Activity, (146.87), (204.05), (106.80), 706.22 , 554.05 , 176.32 , (194.94), (372.70), (288.84), (507.32)
Net Cash Flow, 30.72 , (26.35), 23.03 , 116.79 , (113.89), (25.46), 9.01 , (2.71), 12.76 , 94.62 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
