EID PARRY (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 72.72 , 216.21 , (108.40), (6.98), (92.80), 145.73 , 292.74 , 944.77 , 518.46 , (5.98)
Cash from Investing Activity, 150.45 , (125.50), 137.70 , (83.33), (187.94), 143.27 , (0.69), (95.33), 27.30 , 31.47 
Cash from Financing Activity, (247.98), (102.59), (29.43), 111.31 , 261.08 , (261.57), (323.43), (807.69), (593.68), (26.32)
Net Cash Flow, (24.81), (11.88), (0.13), 21.00 , (19.66), 27.43 , (31.38), 41.75 , (47.92), (0.83)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
