MANAKSIA COATED METALS & INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 0.05 , 6.55 , 6.55 , 6.55 , 6.55 
Reserves, -   , -   , -   , -   , -   , 81.21 , 72.88 , 75.79 , 80.04 , 82.79 
Borrowings, -   , -   , -   , -   , -   , 54.81 , 67.74 , 52.04 , 57.98 , 119.46 
Other Liabilities, -   , -   , -   , -   , -   , 124.98 , 69.56 , 73.65 , 84.87 , 91.15 
Total, -   , -   , -   , -   , -   , 261.05 , 216.73 , 208.03 , 229.44 , 299.95 
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , 92.99 , 80.81 , 72.67 , 95.66 , 152.36 
Capital Work in Progress, -   , -   , -   , -   , -   , 22.04 , 33.37 , 45.21 , 35.01 , 3.76 
Investments, -   , -   , -   , -   , -   , -   , -   , 0.09 , 0.14 , 9.82 
Other Assets, -   , -   , -   , -   , -   , 146.02 , 102.55 , 90.06 , 98.63 , 134.01 
Total, -   , -   , -   , -   , -   , 261.05 , 216.73 , 208.03 , 229.44 , 299.95 
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , 21.04 , 32.99 , 16.41 , 13.76 , 42.86 
Debtors, -   , -   , -   , -   , -   , 68.97 , 23.87 , 44.08 , 43.36 , 29.77 
Inventory, -   , -   , -   , -   , -   , 48.73 , 45.62 , 20.27 , 29.51 , 49.53 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 149.91 , 40.48 , 71.82 , 62.08 , 47.35 
Inventory Turnover, -   , -   , -   , -   , -   , 3.45 , 4.72 , 11.05 , 8.64 , 4.63 
,,,,,,,,,,
Return on Equity,,,,,,1%,-9%,4%,0%,3%
Return on Capital Emp,,,,,,9%,-4%,5%,5%,6%
,,,,,,,,,,
